אני	я
לִפְעָמִים	иногда
הַר	гора
גזירה	резать
צָעִיר	молодой
דבר	разговаривать
בקרוב	скоро
רשימה	список
שִׁיר	песня
להיות	существование
לעזוב	оставлять
מִשׁפָּחָה	семья
שֶׁלָה	его
גוּף	тело
מוּסִיקָה	музыка
צֶבַע	цвет
לַעֲמוֹד	стоять
שמש	солнце
שְׁאֵלָה	вопрос
דג	рыба
אֵזוֹר	область
סימן	отметка
כֶּלֶב	собака
סוּס	лошадь
ציפורים	птицы
בְּעָיָה	проблема
לְהַשְׁלִים	полный
חֶדֶר	комната
ידע	знал
מאז	с
אֵיִ פַּעַם	всегда
לְחַבֵּר	кусок
סיפר	сказал
בְּדֶרֶך כְּלַל	обычно
לא	не сделал
חברים	друзья
קַל	легкий
שמע	слышал
להזמין	заказ
אָדוֹם	красный
דלת	дверь
בטוח	конечно
הפכו	становиться
חלק עליון	вершина
ספינה	корабль
ברחבי	через
היום	сегодня
בְּמַהֲלָך	в течение
קצר	короткий
טוב יותר	лучше
הטוב ביותר	лучший
למרות זאת	однако
נָמוּך	низкий
שעה (ות	часы
שָׁחוֹר	черный
מוצרים	продукты
קרה	случилось
כֹּל	весь
מידה	мера
זכור	помнить
מוקדם	рано
גלים	волны
השיג	достиг
בוצע	сделанный
אנגלית	Английский
כְּבִישׁ	дорога
לַעֲצוֹר	остановка
לטוס, זבוב	летать
נתן	отдал
קופסא	коробка
סוף כל סוף	окончательно
לַחֲכוֹת	ждать
נכון	правильный
הו	ой
בִּמְהִירוּת	быстро
אדם	человек
הפכתי	стал
מוצג	показано
דקות	минуты
חָזָק	сильный
פועל	глагол
כוכבים	звезды
חֲזִית	передний
להרגיש	чувствовать
עוּבדָה	факт
אינץ	дюймы
רְחוֹב	улица
החליט	решенный
לְהַכִיל	содержать
קוּרס	курс
משטח	поверхность
ליצר	производить
בִּניָן	здание
אוקיינוס	океан
מעמד	сорт
הערה	примечание
שום דבר	ничего
מנוחה	отдых
בקפידה	осторожно
מדענים	ученые
בְּתוֹך	внутри
גלגלים	колеса
שָׁהוּת	оставаться
ירוק	зеленый
ידוע	известен
אִי	остров
שָׁבוּעַ	неделя
פָּחוֹת	меньше
מְכוֹנָה	машина
בסיס	база
לִפנֵי	назад
עמד	стоял
מָטוֹס	самолет
מערכת	система
מֵאָחוֹר	позади
רץ	побежал
עִגוּל	круглый
סִירָה	лодка
מִשְׂחָק	игра
כּוֹחַ	сила
הביא	принес
מבין	понимать
נעים	теплый
מְשׁוּתָף	общий
לְהָבִיא	приносить
להסביר	объяснять
יָבֵשׁ	сухой
אמנם	хотя
שפה	язык
צוּרָה	форма
עָמוֹק	глубокий
אלפים	тысячи
כן	да
ברור	прозрачный
משוואה	уравнение
עדיין	еще
מֶמְשָׁלָה	правительство
מְמוּלָא	заполненный
חוֹם	нагревать
מלא	полный
חַם	горячий
חשבון	проверять
לְהִתְנַגֵד	объект
בבוקר	являюсь
כְּלָל	правило
בין	среди
שֵׁם עֶצֶם	существительное
כּוֹחַ	власть
לא יכול	не могу
יכול	способный
גודל	размер
אפל	темный
כַּדוּר	мяч
חוֹמֶר	материал
מיוחד	особенный
כָּבֵד	тяжелый
בסדר גמור	отлично
זוג	пара
מעגל	круг
לִכלוֹל	включать
בנוי	построен
צְבִיעוּת	не мочь
חוֹמֶר	иметь значение
כיכר	квадрат
הברות	слоги
אוּלַי	возможно
שטר כסף	счет
הרגיש	чувствовал себя
פִּתְאוֹם	внезапно
מִבְחָן	тест
כיוון	направление
מֶרְכָּז	центр
חקלאים	фермеры
מוּכָן	готовый
כל דבר	что-либо
מחולק	разделенный
כללי	общий
אֵנֶרְגִיָה	энергия
נושא	предмет
אֵירוֹפָּה	Европа
ירח	луна
אזור	область
לַחֲזוֹר	возвращаться
לְהֶאֱמִין	полагать
לִרְקוֹד	танцевать
חברים	члены
בחרו	выбрал
פָּשׁוּט	простой
תאים	клетки
צֶבַע	краска
אכפת	разум
אהבה	любовь
גורם	причина
גֶשֶׁם	дождь
תרגיל	упражнение
ביצים	яйца
רכבת	тренироваться
כְּחוֹל	синий
בַּקָשָׁה	желание
יְרִידָה	уронить
מפותח	развитый
חַלוֹן	окно
הֶבדֵל	разница
מֶרְחָק	расстояние
לֵב	сердце
לָשֶׁבֶת	сидеть
סְכוּם	сумма
קַיִץ	лето
קִיר	стена
יַעַר	лес
כנראה	вероятно
רגליים	ноги
ישב	Суббота
רָאשִׁי	основной
חוֹרֶף	зима
רָחָב	широкий
כתוב	написано
אורך	длина
סיבה	причина
שמר	хранится
ריבית	интерес
נשק	оружие
אָח	брат
גזע	раса
מתנה	подарок
יפה	красивый
חנות	магазин
עבודה	работа
קָצֶה	край
עבר	прошлое
סִימָן	знак
תקליט	записывать
גָמוּר	законченный
גילה	обнаруженный
פְּרָאִי	дикий
שַׂמֵחַ	счастливый
לְיַד	рядом
נעלם	ушел
שָׁמַיִם	небо
זכוכית	стекло
מִילִיוֹן	миллион
מַעֲרָב	запад
לְהַנִיחַ	класть
מזג אוויר	погода
שורש	корень
כלים	инструменты
לִפְגוֹשׁ	встретиться
חודשים	месяцы
פסקה	параграф
מוּרָם	поднятый
לְיַצֵג	представлять
רַך	мягкий
האם	ли
בגדים	одежда
פרחים	цветы
יהיה	должен
מוֹרֶה	учитель
מוּחזָק	держал
לְתַאֵר	описывать
נהיגה	водить машину
לַחֲצוֹת	крест
לְדַבֵּר	говорить
לִפְתוֹר	решать
לְהוֹפִיעַ	появляться
מַתֶכֶת	металл
בֵּן	сын
אוֹ	или
קרח	лед
לִישׁוֹן	спать
כְּפָר	деревня
גורמים	факторы
תוֹצָאָה	результат
קפץ	прыгнул
שֶׁלֶג	снег
נסיעה	поездка
לְטַפֵּל	Забота
קוֹמָה	пол
גִבעָה	холм
דחף	толкнул
תִינוֹק	малыш
לִקְנוֹת	купить
מֵאָה	век
בחוץ	снаружи
הכל	все
גובה	высокий
כְּבָר	уже
במקום זאת	вместо
מִשׁפָּט	фраза
אדמה	земля
מיטה	кровать
עותק	копировать
חינם	бесплатно
לְקַווֹת	надеяться
אביב	весна
מקרה	случай
צחק	рассмеялся
אוּמָה	нация
דַי	довольно
סוּג	тип
עצמם	сами себя
טֶמפֶּרָטוּרָה	температура
בָּהִיר	яркий
עוֹפֶרֶת	вести
כל אחד	каждый
שיטה	метод
סָעִיף	раздел
אֲגַם	озеро
עיצור	согласный
בְּתוֹך	в пределах
מילון	словарь
שיער	волосы
גיל	возраст
כמות	количество
סוּלָם	шкала
פאונד	фунтов стерлингов
למרות ש	хотя
לְכָל	за
שָׁבוּר	сломанный
רֶגַע	момент
זָעִיר	крошечный
אפשרי	возможный
זהב	золото
חלב	молоко
שֶׁקֶט	тихий
טִבעִי	естественный
מִגרָשׁ	много
אֶבֶן	камень
פעולה	действовать
לִבנוֹת	строить
אֶמצַע	середина
מְהִירוּת	скорость
לספור	считать
חתול	кот
מִישֶׁהוּ	кто-то
להפליג	плыть
מְגוּלגָל	свернутый
דוב	медведь
פֶּלֶא	удивляться
חייך	улыбнулся
זָוִית	угол
שבריר	доля
אַפְרִיקָה	Африка
נהרג	убит
מַנגִינָה	мелодия
תַחתִית	нижний
טיול	путешествие
חור	дыра
עני	бедный
בואו	Давайте
מַאֲבָק	драться
הַפתָעָה	сюрприз
צָרְפָתִית	Французский
מת	умер
להיות ב	бить
בְּדִיוּק	точно
לְהִשָׁאֵר	оставаться
שמלה	одеваться
בַּרזֶל	железо
לא יכלה	не мог
אצבעות	пальцы
שׁוּרָה	ряд
הכי פחות	наименее
לתפוס	ловить
טיפס	поднялся
כתבתי	написал
צעק	кричал
נמשך	продолжение
עצמו	сам
אַחֵר	еще
מישורים	равнины
גַז	газ
אַנְגלִיָה	Англия
שריפה	горящий
לְעַצֵב	дизайн
הצטרף	присоединился
כף רגל	ступня
חוֹק	закон
אוזניים	уши
דֶשֶׁא	трава
אתה	Вы
גדל	вырос
עור	кожа
עֶמֶק	долина
סנטים	центы
מַפְתֵחַ	ключ
נָשִׂיא	президент
חום	коричневый
צרה	беда
מגניב	прохладный
ענן	облако
אָבֵד	потерянный
נשלח	отправил
סמלים	символы
לִלבּוֹשׁ	носить
רַע	плохой
להציל	сохранять
לְנַסוֹת	эксперимент
מנוע	двигатель
לבד	один
צִיוּר	рисунок
מזרח	восток
לְשַׁלֵם	платить
יחיד	одинокий
לגעת	трогать
מֵידָע	информация
אֶקְסְפּרֶס	выражать
פֶּה	рот
חָצֵר	площадка
שווה	равный
נקודה	десятичная дробь
עַצמְךָ	сам
לִשְׁלוֹט	контроль
תרגול	упражняться
להגיש תלונה	отчет
יָשָׁר	прямой
לעלות	рост
הַצהָרָה	заявление
מקל	палка
מפלגה	вечеринка
זרעים	семена
לְהַנִיחַ	предполагать
אִשָׁה	женщина
חוף	побережье
בַּנק	банк
פרק זמן	период
חוּט	проволока
בחר	выбирать
לְנַקוֹת	чистый
לְבַקֵר	посещать
קצת	кусочек
של מי	чей
קיבלו	полученный
גן	сад
אנא	пожалуйста
מוּזָר	странный
נתפס	пойманный
נפל	упал
קְבוּצָה	команда
אלוהים	Бог
סֶרֶן	капитан
ישיר	прямой
טַבַּעַת	кольцо
לְשָׁרֵת	служить
יֶלֶד	ребенок
מִדבָּר	пустыня
להגביר	увеличивать
הִיסטוֹרִיָה	история
עֲלוּת	расходы
אולי	может быть
עֵסֶק	бизнес
נפרד	отдельный
לשבור	перерыв
דוֹד	дядя
ציד	охота
זְרִימָה	поток
גברת	леди
תלמידים	студенты
בן אנוש	человек
אומנות	искусство
מַרגִישׁ	чувство
לְסַפֵּק	поставлять
פינה	угол
חשמלי	электрический
חרקים	насекомые
יבולים	посевы
טוֹן	тон
מכה	ударять
חוֹל	песок
דוֹקטוֹר	врач
לְסַפֵּק	предоставлять
לכן	таким образом
רָגִיל	не будет
לְבַשֵׁל	готовить
עצמות	кости
זָנָב	хвост
גלשן	доска
מוֹדֶרנִי	современный
מתחם	сложный
לא היה	не было
לְהַתְאִים	соответствовать
חיבור	добавление
שייך	принадлежать
בטוח	безопасный
חיילים	солдаты
לְנַחֵשׁ	предполагать
שקט	тихий
סַחַר	торговля
אלא	скорее
לְהַשְׁווֹת	сравнивать
קָהָל	толпа
שִׁיר	стих
תהנה	наслаждаться
אלמנטים	элементы
מצביע	указывать
מלבד	кроме
לְצַפּוֹת	ожидать
שָׁטוּחַ	плоский
מעניין	интересный
לָחוּשׁ	смысл
חוּט	нить
לנשוף	дуть
מפורסם	известный
ערך	ценить
כנפיים	крылья
תְנוּעָה	движение
מוֹט	полюс
מְרַגֵשׁ	захватывающий
ענפים	ветви
עבה	толстый
דָם	кровь
שקר	ложь
לְזַהוֹת	место
פַּעֲמוֹן	колокол
כֵּיף	веселье
בְּקוֹל רָם	громкий
לשקול	учитывать
מוּצָע	предложенный
רזה	тонкий
עמדה	позиция
נכנס	вошел
פרי	фрукты
קָשׁוּר	связанный
עָשִׁיר	богатый
דולרים	доллары
לִשְׁלוֹחַ	отправлять
מראה	взгляд
רֹאשׁ	главный
יַפָּנִית	Японский
זרם	транслировать
כוכבי לכת	планеты
קֶצֶב	ритм
מַדָע	наука
גדול	главный
לצפות	наблюдать
צינור	трубка
נחוץ	необходимый
מִשׁקָל	масса
בָּשָׂר	мясо
הרים	поднят
תהליך	процесс
צָבָא	армия
כּוֹבַע	шапка
תכונה	свойство
מיוחד	особый
לשחות	плавать
תנאים	условия
נוֹכְחִי	текущий
פַּארק	парк
מכירה	продавать
כָּתֵף	плечо
תַעֲשִׂיָה	промышленность
לִשְׁטוֹף	стирать
לַחסוֹם	блокировать
התפשטות	распространение
בקר	крупный рогатый скот
אשה	жена
חַד	острый
חֶברָה	компания
רָדִיוֹ	радио
נו	хорошо
פעולה	действие
עיר בירה	капитал
בתי חרושת	заводы
מְיוּשָׁב	поселился
צהוב	желтый
לא	не
דְרוֹמִי	южный
מַשָׂאִית	грузовик
יריד	справедливый
מודפס	напечатанный
לא יעשה זאת	не стал бы
קָדִימָה	предстоящий
הִזדַמְנוּת	шанс
נוֹלָד	рожденный
רָמָה	уровень
משולש	треугольник
מולקולות	молекулы
צָרְפַת	Франция
חוזר על עצמו	повторенный
טור	столбец
מערבי	западный
כְּנֵסִיָה	церковь
אָחוֹת	сестра
חַמצָן	кислород
רַבִּים	множественное число
שׁוֹנִים	различный
מוסכם	согласованный
מול	противоположный
לא בסדר	неправильный
טבלה	диаграмма
מוּכָן	готовый
יפה	симпатичный
פִּתָרוֹן	решение
טָרִי	свежий
לִקְנוֹת	магазин
במיוחד	особенно
נעליים	обувь
בעצם	на самом деле
אף	нос
חוֹשֵׁשׁ	испуганный
מֵת	мертвый
סוכר	сахар
תוֹאַר	прилагательное
תאנה	инжир
מִשׂרָד	офис
עָצוּם	огромный
אֶקְדָח	пистолет
דוֹמֶה	похожий
מוות	смерть
ציון	счет
קָדִימָה	вперед
מָתוּחַ	растянутый
ניסיון	опыт
ורד	Роза
להתיר	позволять
פַּחַד	страх
עובדים	рабочие
וושינגטון	Вашингтон
יווני	Греческий
נשים	женщины
קנה	купил
לד	вел
מרץ	маршировать
צְפוֹנִי	северный
לִיצוֹר	создавать
קָשֶׁה	трудный
התאמה	соответствовать
לנצח	победить
לא	не делает
פְּלָדָה	сталь
סה&quot;כ	общий
עִסקָה	иметь дело
לקבוע	определять
עֶרֶב	вечер
ולא	ни
חֶבֶל	веревка
כותנה	хлопок
תפוח עץ	яблоко
פרטים	подробности
שלם	весь
תירס	кукуруза
חומרים	вещества
רֵיחַ	запах
כלים	инструменты
תנאים	условия
פרות	коровы
מַסלוּל	отслеживать
הגיע	приехал
ממוקם	располагается
אֲדוֹנִי	сэр
מושב	сиденье
חֲלוּקָה	разделение
השפעה	эффект
לָשִׂים דָגֵשׁ	подчеркнуть
נוף	вид
עָצוּב	грустный
מְכוֹעָר	уродливый
מְשַׁעֲמֵם	скучный
עסוק	занятый
מאוחר	поздно
רע יותר	худший
כַּמָה	несколько
אף אחד	никто
מול	против
לעתים רחוקות	редко
לא זה ולא זה	ни один
מָחָר	завтра
אתמול	вчера
אחרי הצהריים	полдень
חוֹדֶשׁ	месяц
יוֹם רִאשׁוֹן	Воскресенье
יוֹם שֵׁנִי	Понедельник
יוֹם שְׁלִישִׁי	Вторник
יום רביעי	Среда
יוֹם חֲמִישִׁי	Четверг
יוֹם שִׁישִׁי	Пятница
יום שבת	Суббота
סתָיו	осень
צָפוֹן	север
דָרוֹם	юг
רעב	голодный
צמא	испытывающий жажду
רָטוֹב	влажный
מְסוּכָּן	опасный
חבר	друг
הוֹרֶה	родитель
בַּת	дочь
בַּעַל	муж
מִטְבָּח	кухня
חדר אמבטיה	ванная комната
חדר שינה	Спальня
סלון	гостиная
העיר	город
סטוּדֶנט	студент
עֵט	ручка
ארוחת בוקר	завтрак
ארוחת צהריים	обед
אֲרוּחַת עֶרֶב	ужин
ארוחה	еда
בננה	банан
תפוז	апельсин
לימון	лимон
ירקות	овощной
תפוח אדמה	картофель
עגבנייה	помидор
בצל	лук
סלט	салат
בשר בקר	говядина
בשר חזיר	свинина
עוף	курица
לחם	хлеб
חמאה	масло
גבינה	сыр
ביצה	яйцо
אורז	рис
פסטה	макаронные изделия
מרק	суп
עוגה	торт
קפה	кофе
תה	чай
מיץ	сок
מלח	соль
פלפל	перец
לִשְׁתוֹת	напиток
לֶאֱפוֹת	выпекать
טַעַם	вкус
חליפה	подходить
חוּלצָה	рубашка
חצאית	юбка
מִכְנָסַיִים	брюки
מעיל	пальто
תיק	сумка
אפור	серый
וָרוֹד	розовый
